,piece_title,pattern_generating_match,pattern_matched,predicted_type,part,part,part,part,part,part,part,part,part,part,part,part,start,start,start,start,start,start,start,start,start,start,start,start,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs
16,"Benedicta es, coelorum regina","(-3, 1, 1, -2)","(-3, 1, 1, -2)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,20/1.0,24/1.0,-,-,-,-,-,-,-,-,-,-,152.0,184.0,-,-,-,-,-,-,-,-,-,-,20.0,20.0,-,-,-,-,-,-,-,-,-,-
17,"Benedicta es, coelorum regina","(4, -3, 2, -3)","(4, -3, 1, -3)",Fuga,[QuintaVox],[QuintaVox],-,-,-,-,-,-,-,-,-,-,20/2.0,24/2.0,-,-,-,-,-,-,-,-,-,-,154.0,186.0,-,-,-,-,-,-,-,-,-,-,16.0,16.0,-,-,-,-,-,-,-,-,-,-
18,"Benedicta es, coelorum regina","(-3, 2, -3, -2)","(-3, 1, -3, -2)",Fuga,[QuintaVox],[QuintaVox],-,-,-,-,-,-,-,-,-,-,20/3.0,24/3.0,-,-,-,-,-,-,-,-,-,-,156.0,188.0,-,-,-,-,-,-,-,-,-,-,16.0,16.0,-,-,-,-,-,-,-,-,-,-
19,"Benedicta es, coelorum regina","(-3, 1, 1, -2)","(-3, 1, 2, -2)",Fuga,[SextaVox],[Bassus],-,-,-,-,-,-,-,-,-,-,20/3.0,24/3.0,-,-,-,-,-,-,-,-,-,-,156.0,188.0,-,-,-,-,-,-,-,-,-,-,18.0,18.0,-,-,-,-,-,-,-,-,-,-
20,"Benedicta es, coelorum regina","(1, 1, -2, -2)","(1, 1, -2, -2)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,20/4.0,24/4.0,-,-,-,-,-,-,-,-,-,-,158.0,190.0,-,-,-,-,-,-,-,-,-,-,16.0,16.0,-,-,-,-,-,-,-,-,-,-
21,"Benedicta es, coelorum regina","(1, -2, -2, 3)","(1, -2, -2, 3)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,21/1.0,25/1.0,-,-,-,-,-,-,-,-,-,-,160.0,192.0,-,-,-,-,-,-,-,-,-,-,18.0,18.0,-,-,-,-,-,-,-,-,-,-
22,"Benedicta es, coelorum regina","(4, -3, 1, 4)","(4, -3, 1, 4)",Fuga,[Contratenor],[Contratenor],-,-,-,-,-,-,-,-,-,-,21/2.0,25/2.0,-,-,-,-,-,-,-,-,-,-,162.0,194.0,-,-,-,-,-,-,-,-,-,-,10.0,10.0,-,-,-,-,-,-,-,-,-,-
23,"Benedicta es, coelorum regina","(1, 1, -2, -2)","(1, 2, -2, -2)",Fuga,[SextaVox],[Bassus],-,-,-,-,-,-,-,-,-,-,21/2.0,25/2.0,-,-,-,-,-,-,-,-,-,-,162.0,194.0,-,-,-,-,-,-,-,-,-,-,14.0,14.0,-,-,-,-,-,-,-,-,-,-
24,"Benedicta es, coelorum regina","(1, -2, -2, 2)","(1, -3, -2, 2)",Fuga,[QuintaVox],[QuintaVox],-,-,-,-,-,-,-,-,-,-,21/2.0,25/2.0,-,-,-,-,-,-,-,-,-,-,162.0,194.0,-,-,-,-,-,-,-,-,-,-,12.0,12.0,-,-,-,-,-,-,-,-,-,-
25,"Benedicta es, coelorum regina","(-2, -2, 3, -2)","(-2, -2, 3, -2)",Fuga,[Discantus],[Tenor],[Discantus],[Tenor],[Contratenor],-,-,-,-,-,-,-,21/3.0,25/3.0,28/1.0,31/1.0,34/1.0,-,-,-,-,-,-,-,164.0,196.0,216.0,240.0,264.0,-,-,-,-,-,-,-,15.0,15.0,12.0,12.0,12.0,-,-,-,-,-,-,-
26,"Benedicta es, coelorum regina","(-2, -2, 2, 2)","(-3, -2, 2, 2)",Fuga,[QuintaVox],[QuintaVox],-,-,-,-,-,-,-,-,-,-,21/3.0,25/3.0,-,-,-,-,-,-,-,-,-,-,164.0,196.0,-,-,-,-,-,-,-,-,-,-,12.0,12.0,-,-,-,-,-,-,-,-,-,-
27,"Benedicta es, coelorum regina","(3, -2, -2, 2)","(2, -2, -2, 2)",Fuga,[SextaVox],[Bassus],-,-,-,-,-,-,-,-,-,-,21/3.0,25/3.0,-,-,-,-,-,-,-,-,-,-,164.0,196.0,-,-,-,-,-,-,-,-,-,-,16.0,16.0,-,-,-,-,-,-,-,-,-,-
28,"Benedicta es, coelorum regina","(-2, 2, 2, 2)","(-2, 2, 2, 2)",Fuga,[QuintaVox],[QuintaVox],-,-,-,-,-,-,-,-,-,-,21/4.0,25/4.0,-,-,-,-,-,-,-,-,-,-,166.0,198.0,-,-,-,-,-,-,-,-,-,-,14.0,14.0,-,-,-,-,-,-,-,-,-,-
29,"Benedicta es, coelorum regina","(-2, 4, -2, -2)","(-2, 3, -2, -2)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,22/1.0,26/1.0,-,-,-,-,-,-,-,-,-,-,168.0,200.0,-,-,-,-,-,-,-,-,-,-,12.0,12.0,-,-,-,-,-,-,-,-,-,-
30,"Benedicta es, coelorum regina","(2, 2, 2, -2)","(2, 2, 2, -2)",Fuga,[QuintaVox],[QuintaVox],-,-,-,-,-,-,-,-,-,-,22/2.0,26/2.0,-,-,-,-,-,-,-,-,-,-,170.0,202.0,-,-,-,-,-,-,-,-,-,-,14.0,14.0,-,-,-,-,-,-,-,-,-,-
31,"Benedicta es, coelorum regina","(-2, 2, 2, -4)","(-2, 2, 2, -5)",Fuga,[SextaVox],[Bassus],-,-,-,-,-,-,-,-,-,-,22/3.0,26/3.0,-,-,-,-,-,-,-,-,-,-,172.0,204.0,-,-,-,-,-,-,-,-,-,-,20.0,20.0,-,-,-,-,-,-,-,-,-,-
