,piece_title,pattern_generating_match,pattern_matched,predicted_type,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs
9,Missa Benedicta es - Kyrie,"(2, -2, -2, -2)","(2, -2, -2, -2)",Fuga,[Bassus 2],[Bassus 1],[Bassus 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14/1.0,16/3.0,18/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104.0,124.0,140.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,16.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,Missa Benedicta es - Kyrie,"(-2, -2, -2, 1)","(-2, -2, -2, 1)",Fuga,[Contratenor 1],[Discantus],[Tenor],[Contratenor 2],[Contratenor 1],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14/1.0,14/3.0,16/3.0,17/1.0,18/4.0,19/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104.0,108.0,124.0,128.0,142.0,144.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,14.0,14.0,12.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Missa Benedicta es - Kyrie,"(-2, -2, 1, -2)","(-2, -2, 1, -2)",ID,[Contratenor 1],[Discantus],[Tenor],[Contratenor 2],[Contratenor 1],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14/3.0,15/1.0,17/1.0,17/3.0,19/1.0,19/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,108.0,112.0,128.0,132.0,144.0,148.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,12.0,12.0,12.0,12.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Missa Benedicta es - Kyrie,"(-2, 1, -2, 2)","(-2, 1, -2, 2)",Fuga,[Contratenor 1],[Discantus],[Tenor],[Contratenor 1],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14/4.0,15/2.0,17/2.0,19/2.0,19/4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110.0,114.0,130.0,146.0,150.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,14.0,22.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Missa Benedicta es - Kyrie,"(2, 2, 2, 2)","(2, 2, 2, 2)",Fuga,[Discantus],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20/4.0,21/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158.0,160.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Missa Benedicta es - Kyrie,"(2, -2, -3, 3)","(2, -2, -2, 3)",Fuga,[Contratenor 2],[Contratenor 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20/4.0,23/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158.0,180.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Missa Benedicta es - Kyrie,"(-2, -3, 3, -2)","(-2, -2, 3, -2)",Fuga,[Contratenor 2],[Contratenor 1],[Contratenor 2],[Tenor],[Contratenor 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21/1.0,24/1.0,27/3.0,30/3.0,32/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160.0,184.0,212.0,236.0,252.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,12.0,12.0,12.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Missa Benedicta es - Kyrie,"(-2, 4, -2, -2)","(-2, 3, -2, -2)",Fuga,[Contratenor 2],[Contratenor 1],[Contratenor 2],[Contratenor 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22/1.0,25/1.0,28/3.0,33/2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168.0,192.0,220.0,258.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,10.0,10.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Missa Benedicta es - Kyrie,"(4, -2, -2, -2)","(3, -2, -2, -2)",Fuga,[Contratenor 2],[Contratenor 1],[Contratenor 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22/2.0,25/2.0,28/4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170.0,194.0,222.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,12.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Missa Benedicta es - Kyrie,"(2, 2, 2, -3)","(2, 2, 2, -2)",Fuga,[Discantus],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22/4.0,25/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,174.0,196.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
